ts,Temperature,Flow,Pressure,AccumulateFlow
2023-06-14 14:22:53+00:00,27.4,0,1.8,920
2023-06-14 14:23:00+00:00,27.4,0,1.8,920
2023-06-14 14:23:04+00:00,27.4,0,1.8,920
2023-06-14 14:23:15+00:00,27.4,0,1.8,920
2023-06-14 14:23:16+00:00,27.4,24,1.8,920
2023-06-14 14:23:31+00:00,27.4,0,1.8,920
2023-06-14 14:23:33+00:00,27.4,0,1.8,920
2023-06-14 14:23:51+00:00,27.4,0,1.8,920
2023-06-14 14:24:00+00:00,27.4,22,1.8,920
2023-06-14 14:24:04+00:00,27.4,0,1.8,920
2023-06-14 14:24:17+00:00,27.4,0,1.8,920
2023-06-14 14:24:20+00:00,27.4,0,1.8,920
2023-06-14 14:24:35+00:00,27.4,0,1.8,920
2023-06-14 14:24:42+00:00,27.4,0,1.8,920
2023-06-14 14:25:01+00:00,27.4,0,1.8,930
2023-06-14 14:25:17+00:00,27.4,24,1.8,930
2023-06-14 14:25:18+00:00,27.4,0,1.8,930
2023-06-14 14:25:21+00:00,27.4,0,1.8,930
2023-06-14 14:25:48+00:00,27.4,0,1.8,930
2023-06-14 14:25:53+00:00,27.4,0,1.8,930
2023-06-14 14:25:55+00:00,27.4,0,1.8,930
2023-06-14 14:26:02+00:00,27.4,0,1.8,930
2023-06-14 14:26:04+00:00,27.4,0,1.8,930
2023-06-14 14:26:05+00:00,27.4,0,1.8,930
2023-06-14 14:26:18+00:00,27.4,0,1.8,930
2023-06-14 14:26:24+00:00,27.4,0,1.8,930
2023-06-14 14:26:37+00:00,27.4,0,1.8,930
2023-06-14 14:26:42+00:00,27.4,0,1.8,930
2023-06-14 14:26:49+00:00,27.4,0,1.8,930
2023-06-14 14:26:52+00:00,27.4,0,1.8,930
2023-06-14 14:26:54+00:00,27.4,22,1.8,930
2023-06-14 14:27:04+00:00,27.4,0,1.8,930
2023-06-14 14:27:07+00:00,27.4,0,1.8,930
2023-06-14 14:27:11+00:00,27.4,0,1.8,930
2023-06-14 14:19:58+00:00,27.4,0,1.81,910
2023-06-14 14:20:49+00:00,27.4,0,1.81,920
2023-06-14 14:21:15+00:00,27.4,0,1.81,920
2023-06-14 14:21:41+00:00,27.4,0,1.81,920
2023-06-14 14:22:58+00:00,27.4,0,1.81,920
2023-06-14 14:24:31+00:00,27.4,0,1.81,920
2023-06-14 14:26:27+00:00,27.4,0,1.81,930
2023-06-14 14:27:15+00:00,27.4,21,1.81,930
2023-06-14 14:11:14+00:00,26.9,0,3.37,790
2023-06-14 14:11:06+00:00,26.9,61,3.5,780
2023-06-14 14:11:15+00:00,26.9,62,3.5,790
2023-06-14 14:11:21+00:00,26.9,59,3.5,790
2023-06-14 14:11:24+00:00,26.9,58,3.5,790
2023-06-14 14:11:35+00:00,26.9,25,3.5,800
2023-06-14 14:12:00+00:00,26.9,55,3.5,810
2023-06-14 14:12:07+00:00,26.9,29,3.5,820
2023-06-14 14:12:12+00:00,26.9,61,3.5,820
2023-06-14 14:12:26+00:00,26.9,28,3.5,830
2023-06-14 14:10:55+00:00,26.9,34,3.51,780
2023-06-14 14:10:56+00:00,26.9,0,3.51,780
2023-06-14 14:11:07+00:00,26.9,59,3.51,780
2023-06-14 14:11:20+00:00,26.9,28,3.51,790
2023-06-14 14:11:31+00:00,26.9,30,3.51,800
2023-06-14 14:11:32+00:00,26.9,43,3.51,800
